596, ammoInfluenceRange
600, ammoTrackingMultiplier
1173, ammoInfluenceEntityFlyRange
9, missileLaunching
804, ammoInfluenceCapNeed
104, fofMissileLaunching
102, mineLaying
13, medPower
16, online
21, shieldCapacityBonusOnline
2029, addToSignatureRadius2
50, modifyShieldRechargeRate
4, shieldBoosting
3201, overloadSelfShieldBonusDurationBonus
12, hiPower
3002, overloadSelfDurationBonus
6186, shipModuleRemoteShieldBooster
51, modifyPowerRechargeRate
58, capacitorCapacityMultiply
3175, overloadSelfSpeedBonus
6730, moduleBonusMicrowarpdrive
6731, moduleBonusAfterburner
47, cargoScan
46, shipScan
81, surveyScan
3174, overloadSelfRangeBonus
5934, warpScrambleBlockMWDWithNPCEffect
42, turretFitted
3025, overloadSelfDamageBonus
3001, overloadRofBonus
67, miningLaser
253, shadowBarrageDmgMultiplierWithDamageMultiplierPostPercentBarrageDmgMutator
254, shadowBarrageFalloffWithFalloffPostPercentBarrageFalloffMutator
40, launcherFitted
101, useMissiles
11, loPower
56, powerOutputMultiply
57, shieldCapacityMultiply
1720, shieldBoostAmplifier
89, projectileWeaponSpeedMultiply
92, projectileWeaponDamageMultiply
2302, damageControl
25, capacitorCapacityBonus
6487, modifyEnergyWarfareResistance
27, armorRepair
3200, overloadSelfArmorDamageAmountDurationBonus
26, structureRepair
6426, remoteWebifierFalloff
6184, shipModuleRemoteCapacitorTransmitter
6197, energyNosferatuFalloff
6187, energyNeutralizerFalloff
48, powerBooster
3035, overloadSelfHardeningInvulnerabilityBonus
5230, modifyActiveShieldResonancePostPercent
3182, overloadSelfECMStrenghtBonus
6714, ECMBurstJammer
54, targetPassively
5103, shipBonusShieldTransferCapNeedCF
5104, shipBonusShieldTransferBoostAmountCF2
6368, shieldTransporterFalloffBonus
898, shipMissileKineticDamageCF
3495, shipCapPropulsionJamming
1996, caldariShipEwCapacitorNeedCF2
2734, shipECMScanStrengthBonusCF
508, shipPDmgBonusMF
1099, shipProjectileTrackingMF2
4166, shipBonusScanProbeStrengthMF
5051, shipBonusSalvageCycleMF
5460, minigameVirusStrengthBonus
5779, shipBonusSPTFalloffMF2
5018, shipVelocityBonusRookie
5019, minmatarShipEwTargetPainterRookie
5020, shipSPTDmgBonusRookie
5021, shipShieldBoostRookie
511, shipEnergyTCapNeedBonusAF
514, shipSETDmgBonusAF
2135, armorRepairProjectorMaxRangeBonus
5109, shipBonusRemoteArmorRepairCapNeedAF
5110, shipBonusRemoteArmorRepairAmount2AF
6373, armorRepairProjectorFalloffBonus
5107, shipBonusRemoteArmorRepairCapNeedGF
5108, shipBonusRemoteArmorRepairAmountGF2
2504, shipBonusHybridTrackingGF2
5087, shipBonusDroneHitpointsGF
5111, shipBonusDroneTrackingGF
512, shipSHTDmgBonusGF
4934, shipArmorRepairingGF2
4990, shipEnergyTCapNeedBonusRookie
4991, shipSETDmgBonusRookie
4994, shipArmorEMResistanceRookie
4995, shipArmorEXResistanceRookie
4996, shipArmorKNResistanceRookie
4997, shipArmorTHResistanceRookie
5795, shipBonusEwWeaponDisruptionStrengthRookie
1804, shipArmorEMResistanceAF1
1805, shipArmorTHResistanceAF1
1806, shipArmorKNResistanceAF1
1807, shipArmorEXResistanceAF1
5090, shipShieldBoostMF
5778, shipMissileRoFMF2
5105, shipBonusShieldTransferCapNeedMF
5106, shipBonusShieldTransferBoostAmountMF2
4999, shipHybridRangeBonusRookie
5000, shipMissileKineticDamageRookie
5008, shipShieldEMResistanceRookie
5009, shipShieldExplosiveResistanceRookie
5011, shipShieldKineticResistanceRookie
5012, shipShieldThermalResistanceRookie
5028, shipECMScanStrengthBonusRookie
5080, shipMissileVelocityCF
5234, shipSmallMissileExpDmgCF2
5237, shipSmallMissileKinDmgCF2
5240, shipSmallMissileThermDmgCF2
5243, shipSmallMissileEMDmgCF2
1816, shipShieldEMResistanceCF2
1817, shipShieldThermalResistanceCF2
1819, shipShieldKineticResistanceCF2
1820, shipShieldExplosiveResistanceCF2
4941, shipHybridDamageBonusCF2
4165, shipBonusScanProbeStrengthCF
5045, shipBonusSalvageCycleCF
5013, shipSHTDmgBonusRookie
5014, shipBonusDroneDamageMultiplierRookie
5015, shipBonusEwRemoteSensorDampenerMaxTargetRangeBonusRookie
5016, shipBonusEwRemoteSensorDampenerScanResolutionBonusRookie
5017, shipArmorRepairingRookie
5030, shipBonusMiningDroneAmountPercentRookie
5035, shipBonusDroneHitpointsRookie
4167, shipBonusScanProbeStrengthGF
5048, shipBonusSalvageCycleGF
1773, shipBonusSHTFalloffGF2
3366, shipRemoteSensorDampenerCapNeedGF
3588, shipBonusEwRemoteSensorDampenerMaxTargetRangeBonusGF2
3589, shipBonusEwRemoteSensorDampenerScanResolutionBonusGF2
5205, shipSETTrackingBonusRookie
5206, shipSETOptimalBonusRookie
5217, shipSPTTrackingSpeedBonusRookie
5218, shipSPTFalloffBonusRookie
5219, shipSPTOptimalRangeBonusRookie
1964, shipBonusShieldTransferCapneed1
2133, energyTransferArrayMaxRangeBonus
2134, shieldTransporterMaxRangeBonus
5121, energyTransferArrayTransferAmountBonus
5126, shipBonusShieldTransferBoostAmountCC2
1024, shipMissileHeavyVelocityBonusCC2
1025, shipMissileLightVelocityBonusCC2
2809, shipMissileAssaultMissileVelocityBonusCC2
5131, shipMissileRofCC
602, shipPTurretSpeedBonusMC
5132, shipPTurretFalloffBonusMC2
1812, shipShieldEMResistanceCC2
1813, shipShieldThermalResistanceCC2
1814, shipShieldKineticResistanceCC2
1815, shipShieldExplosiveResistanceCC2
5133, shipHTDamageBonusCC
958, shipArmorEmResistanceAC2
959, shipArmorExplosiveResistanceAC2
960, shipArmorKineticResistanceAC2
961, shipArmorThermalResistanceAC2
5136, shipMETCDamageBonusAC
5123, shipBonusRemoteArmorRepairCapNeedAC1
5124, shipBonusRemoteArmorRepairAmountAC2
562, shipHTDmgBonusfixedGC
2179, shipBonusDroneHitpointsGC2
2188, shipBonusDroneDamageMultiplierGC2
2250, shipBonusDroneMiningAmountGC2
919, shipHybridTrackingGC2
2181, shipBonusDroneHitpointsFixedAC2
2189, shipBonusDroneDamageMultiplierAC2
2249, shipBonusDroneMiningAmountAC2
6395, shipBonusEwWeaponDisruptionStrengthAC1
